"game","company","relation"
13459,7856,"publisher"
13459,7856,"developer"
13468,88,"publisher"
13468,1883,"publisher"
13468,135,"developer"
13468,2866,"developer"
13506,25,"publisher"
13506,521,"developer"
13507,428,"publisher"
13507,428,"developer"
13548,419,"publisher"
13548,1133,"publisher"
13548,419,"developer"
13548,6221,"developer"
13554,4883,"publisher"
13554,4883,"developer"
13568,88,"publisher"
13568,1715,"publisher"
13568,1715,"developer"
13568,1892,"developer"
13569,2528,"publisher"
13569,78,"publisher"
13569,78,"developer"
13569,3529,"developer"
13590,580,"publisher"
13590,99,"developer"
13603,82,"publisher"
13603,1498,"publisher"
13603,1498,"developer"
13603,1559,"developer"
13650,332,"publisher"
13650,332,"developer"
13693,4835,"publisher"
13693,1589,"developer"
13696,5,"publisher"
13696,1213,"publisher"
13696,5134,"developer"
13704,3355,"publisher"
13704,3970,"publisher"
13704,5135,"developer"
13704,4378,"developer"
13778,88,"publisher"
13778,5,"developer"
13814,643,"publisher"
13814,552,"developer"
13873,323,"publisher"
13873,431,"developer"
13907,479,"publisher"
13907,2670,"developer"
13969,744,"publisher"
13969,6399,"publisher"
13969,744,"developer"
13989,224,"publisher"
13989,503,"developer"
13989,2528,"developer"
13991,185,"publisher"
13991,4432,"developer"
13991,794,"developer"
13996,1,"publisher"
13996,422,"developer"
13996,632,"developer"
14124,3659,"publisher"
14124,895,"publisher"
14124,1420,"developer"
14143,4008,"publisher"
14143,4008,"developer"
14287,1760,"publisher"
14287,245,"developer"
14320,3192,"publisher"
14320,3193,"developer"
14335,5246,"publisher"
14335,5247,"developer"
14386,559,"publisher"
14386,778,"publisher"
14386,559,"developer"
14404,2535,"publisher"
14404,2535,"developer"
14476,1030,"publisher"
14476,1679,"publisher"
14476,386,"developer"
14480,1919,"publisher"
14480,1279,"publisher"
14480,3545,"developer"
14553,113,"publisher"
14553,1511,"publisher"
14553,4296,"developer"
14582,662,"publisher"
14582,3545,"developer"
14582,54,"developer"
14655,1212,"publisher"
14655,1212,"developer"
14703,5304,"publisher"
14703,157,"publisher"
14703,552,"developer"
14713,3031,"publisher"
14713,217,"developer"
14752,4657,"publisher"
14752,4657,"developer"
14805,548,"publisher"
14805,3409,"publisher"
14805,3409,"developer"
14809,117,"publisher"
14809,4090,"developer"
14860,580,"publisher"
14860,6854,"publisher"
14860,575,"developer"
14860,3936,"developer"
14874,1589,"publisher"
14874,3379,"developer"
14877,1,"publisher"
14877,6069,"developer"
14877,69,"developer"
14881,5334,"publisher"
14881,479,"developer"
14881,4657,"developer"
14893,2273,"publisher"
14893,2274,"developer"
15074,277,"publisher"
15074,570,"publisher"
15074,570,"developer"
15085,5368,"publisher"
15085,5368,"developer"
15085,2528,"developer"
15124,996,"publisher"
15124,996,"developer"
15168,3993,"developer"
15189,54,"publisher"
15189,766,"developer"
15241,182,"publisher"
15241,182,"developer"
15284,2628,"publisher"
15284,2628,"developer"
15304,1679,"publisher"
15304,754,"developer"
15308,358,"publisher"
15308,358,"developer"
15339,3609,"publisher"
15339,3609,"developer"
15349,1703,"publisher"
15349,362,"publisher"
15349,5419,"developer"
15372,495,"publisher"
15372,552,"publisher"
15372,552,"developer"
15397,362,"publisher"
15397,3,"publisher"
15397,3,"developer"
15448,82,"publisher"
15448,796,"developer"
15459,5246,"publisher"
15459,5247,"developer"
15497,1148,"publisher"
15497,860,"developer"
15497,1203,"developer"
15623,484,"publisher"
15623,4627,"developer"
15642,168,"publisher"
15642,224,"developer"
15687,2647,"publisher"
15687,2647,"developer"
15768,48,"publisher"
15768,898,"developer"
15768,48,"developer"
15803,332,"publisher"
15803,332,"developer"
15805,54,"publisher"
15805,881,"developer"
15831,6983,"publisher"
